track_id,track_name,artist,album,genre,duration,file_name,source,license,tags
main_001,Amalgam 217007,Unknown Artist,Aura Music Collection,Ambient,3:00,amalgam-217007.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_002,Ballad Of The Forsaken Emotional Song No Copyright No Copyright 324308,Unknown Artist,Aura Music Collection,Ambient,3:00,ballad-of-the-forsaken-emotional-song-no-copyright-no-copyright-324308.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_003,Epic Music Loop Inspirational Cinematic 385472,Unknown Artist,Aura Music Collection,Ambient,3:00,epic-music-loop-inspirational-cinematic-385472.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_004,Hopeful Cinematic Ambient 349815,Unknown Artist,Aura Music Collection,Ambient,3:00,hopeful-cinematic-ambient-349815.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_005,Indian Bollywood Diwali Music 306679,Unknown Artist,Aura Music Collection,Ambient,3:00,indian-bollywood-diwali-music-306679.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_006,Indian Hindu Diwali Music 419361,Unknown Artist,Aura Music Collection,Ambient,3:00,indian-hindu-diwali-music-419361.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_007,Indian Summer Part I 109078,Unknown Artist,Aura Music Collection,Ambient,3:00,indian-summer-part-i-109078.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_008,Sapne Bade 305719,Unknown Artist,Aura Music Collection,Ambient,3:00,sapne-bade-305719.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_009,The Indian 399825,Unknown Artist,Aura Music Collection,Ambient,3:00,the-indian-399825.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
main_010,Uplifting Upbeat Acoustic Guitar 237893,Unknown Artist,Aura Music Collection,Ambient,3:00,uplifting-upbeat-acoustic-guitar-237893.mp3,Pixabay,Pixabay License,"ambient, background, cinematic"
bg_001,Allthat,Bensound,Background Music Collection,Background,2:30,allthat.mp3,Bensound,Royalty Free,"background, ambient, chill"
bg_002,Cozycoffeehouse,Bensound,Background Music Collection,Background,2:30,cozycoffeehouse.mp3,Bensound,Royalty Free,"background, ambient, chill"
bg_003,Creativeminds,Bensound,Background Music Collection,Background,2:30,creativeminds.mp3,Bensound,Royalty Free,"background, ambient, chill"
bg_004,Mixkit Baby Yohan 1052,Mixkit,Background Music Collection,Background,2:30,mixkit-baby-yohan-1052.mp3,Mixkit,Royalty Free,"background, ambient, chill"
bg_005,Mixkit Holiday Fun 87,Mixkit,Background Music Collection,Background,2:30,mixkit-holiday-fun-87.mp3,Mixkit,Royalty Free,"background, ambient, chill"
bg_006,Mixkit Just Kidding 11,Mixkit,Background Music Collection,Background,2:30,mixkit-just-kidding-11.mp3,Mixkit,Royalty Free,"background, ambient, chill"
bg_007,Softvibes,Bensound,Background Music Collection,Background,2:30,softvibes.mp3,Bensound,Royalty Free,"background, ambient, chill"
bg_008,Theelevatorbossanova,Bensound,Background Music Collection,Background,2:30,theelevatorbossanova.mp3,Bensound,Royalty Free,"background, ambient, chill"
happy_001,I'm Feeling Good (Medium Version),BoDleasons,Happy Music Collection,Happy,3:30,BoDleasons - I'm Feeling Good (Medium Version).mp3,Free Music Archive,CC BY,"happy, emotional, mood, happy"
happy_002,Abchied Bruder (Happy Little Auld Lang Syne),Bros II,Happy Music Collection,Happy,3:30,Bros II - Abchied Bruder (Happy Little Auld Lang Syne).mp3,Free Music Archive,CC BY,"happy, emotional, mood, happy"
happy_003,Sunny Day - Happy Inspirational Guitar Music (Free Download MP3),TolsetMusic,Happy Music Collection,Happy,3:30,TolsetMusic - Sunny Day - Happy Inspirational Guitar Music (Free Download MP3).mp3,Free Music Archive,CC BY,"happy, emotional, mood, happy"
sad_001,Sad Tension,AudioCoffee,Sad Music Collection,Sad,3:30,AudioCoffee - Sad Tension.mp3,Free Music Archive,CC BY,"sad, emotional, mood, sad"
sad_002,Warm Abstraction,AudioCoffee,Sad Music Collection,Sad,3:30,AudioCoffee - Warm Abstraction.mp3,Free Music Archive,CC BY,"sad, emotional, mood, sad"
sad_003,Sad is the Aeroplane,Colonel Trip & Captain Future,Sad Music Collection,Sad,3:30,Colonel Trip & Captain Future - Sad is the Aeroplane.mp3,Free Music Archive,CC BY,"sad, emotional, mood, sad"
calm_001,Slow Calm Documentary,ArcSound,Calm Music Collection,Calm,3:30,ArcSound - Slow Calm Documentary.mp3,Free Music Archive,CC BY,"calm, emotional, mood, calm"
calm_002,Oceanic Calm,Audiorezout,Calm Music Collection,Calm,3:30,Audiorezout - Oceanic Calm.mp3,Free Music Archive,CC BY,"calm, emotional, mood, calm"
calm_003,Calm Lofi,Lowtone Music,Calm Music Collection,Calm,3:30,Lowtone Music - Calm Lofi.mp3,Free Music Archive,CC BY,"calm, emotional, mood, calm"
energetic_001,Sport Victory Energetic Rock,BlackTrendMusic,Energetic Music Collection,Energetic,3:30,BlackTrendMusic - Sport Victory Energetic Rock.mp3,Free Music Archive,CC BY,"energetic, emotional, mood, energetic"
energetic_002,Tropical Music Short - Happy Pop,Lowtone Music,Energetic Music Collection,Energetic,3:30,Lowtone Music - Tropical Music Short - Happy Pop.mp3,Free Music Archive,CC BY,"energetic, emotional, mood, energetic"
energetic_003,Energetic Upbeat Funky Pop,SoundForYou,Energetic Music Collection,Energetic,3:30,SoundForYou - Energetic Upbeat Funky Pop.mp3.mp3,Free Music Archive,CC BY,"energetic, emotional, mood, energetic"
romantic_001,Emotional Educational Romantic Piano _ Walking Home (short 2),Alex-Productions,Romantic Music Collection,Romantic,3:30,Alex-Productions - Emotional Educational Romantic Piano _ Walking Home (short 2).mp3,Free Music Archive,CC BY,"romantic, emotional, mood, romantic"
romantic_002,Delicate,Lite Saturation,Romantic Music Collection,Romantic,3:30,Lite Saturation - Delicate.mp3,Free Music Archive,CC BY,"romantic, emotional, mood, romantic"
romantic_003,Lingering Touch (Romantic Beautiful Piano Music),Lite Saturation,Romantic Music Collection,Romantic,3:30,Lite Saturation - Lingering Touch (Romantic Beautiful Piano Music).mp3,Free Music Archive,CC BY,"romantic, emotional, mood, romantic"
angry_001,Angry White American Man,David Rovics,Angry Music Collection,Angry,3:30,David Rovics - Angry White American Man.mp3,Free Music Archive,CC BY,"angry, emotional, mood, angry"
angry_002,Angry es-moll,Mystic Morrison Visions,Angry Music Collection,Angry,3:30,Mystic Morrison Visions - Angry es-moll.mp3,Free Music Archive,CC BY,"angry, emotional, mood, angry"
angry_003,I'm Really Angry,Your Marginally Talented Photographer Girlfriend,Angry Music Collection,Angry,3:30,Your Marginally Talented Photographer Girlfriend - I'm Really Angry.mp3,Free Music Archive,CC BY,"angry, emotional, mood, angry"
